gameid,period,clock,h_pts,a_pts,team,playerid,player,type,subtype,result,x,y,dist,desc,season
22500418,3,PT10M00.00S,,,PHX,1631109,M. Williams,Rebound,Unknown,,0.0,0.0,0.0,Williams REBOUND (Off:3 Def:5),2026
22500438,1,PT04M36.00S,19.0,14.0,HOU,201142,K. Durant,Free Throw,Free Throw 1 of 2,,0.0,0.0,0.0,Durant Free Throw 1 of 2 (8 PTS),2026
22500396,4,PT00M04.20S,,,CHI,1641824,M. Buzelis,Free Throw,Free Throw 1 of 2,,0.0,0.0,0.0,MISS Buzelis Free Throw 1 of 2,2026
22500562,2,PT03M58.00S,,,LAL,1629028,D. Ayton,Substitution,,,0.0,0.0,0.0,SUB: Hayes FOR Ayton,2026
22500835,1,PT04M56.00S,,,NYK,1628384,O. Anunoby,Substitution,,,0.0,0.0,0.0,SUB: Sochan FOR Anunoby,2026
22500521,1,PT04M45.00S,,,BKN,1642874,D. Wolf,Rebound,Unknown,,0.0,0.0,0.0,Wolf REBOUND (Off:1 Def:0),2026
22500196,1,PT01M53.00S,,,IND,1630526,J. Robinson-Earl,Missed Shot,Running Layup Shot,Missed,22.0,15.0,3.0,MISS Robinson-Earl 3' Running Layup,2026
22500641,4,PT04M28.00S,,,OKC,1629652,L. Dort,Rebound,Unknown,,0.0,0.0,0.0,Dort REBOUND (Off:1 Def:1),2026
22500636,4,PT10M33.00S,89.0,94.0,PHX,1628960,G. Allen,Free Throw,Free Throw 2 of 2,,0.0,0.0,0.0,Allen Free Throw 2 of 2 (16 PTS),2026
22500102,4,PT09M14.00S,,,PHI,1630178,T. Maxey,Free Throw,Free Throw 2 of 2,,0.0,0.0,0.0,MISS Maxey Free Throw 2 of 2,2026
22500863,4,PT05M58.00S,,,CHA,1642883,S. James,Substitution,,,0.0,0.0,0.0,SUB: Miller FOR James,2026
22500436,1,PT05M49.00S,,,MIA,1626181,N. Powell,Missed Shot,Running Layup Shot,Missed,25.0,6.0,3.0,MISS Powell 3' Running Layup,2026
22501084,4,PT09M49.00S,92.0,83.0,SAC,1642363,N. Clifford,Made Shot,Jump Shot,Made,58.0,248.0,25.0,Clifford 25' 3PT Jump Shot (17 PTS) (Cardwell 1 AST),2026
22500390,4,PT06M33.00S,,,DET,1629750,J. Green,Rebound,Unknown,,0.0,0.0,0.0,Green REBOUND (Off:0 Def:3),2026
22500927,1,PT08M39.00S,,,HOU,201142,K. Durant,Rebound,Unknown,,0.0,0.0,0.0,Durant REBOUND (Off:0 Def:1),2026
22500982,2,PT02M51.00S,,,UTA,1641729,B. Sensabaugh,Substitution,,,0.0,0.0,0.0,SUB: Hinson FOR Sensabaugh,2026
22501061,3,PT01M42.00S,97.0,77.0,MIL,1627752,T. Prince,Free Throw,Free Throw 1 of 2,,0.0,0.0,0.0,Prince Free Throw 1 of 2 (12 PTS),2026
22500140,3,PT01M46.00S,,,WAS,1642267,B. Carrington,Rebound,Unknown,,0.0,0.0,0.0,Carrington REBOUND (Off:0 Def:3),2026
22500771,5,PT00M10.30S,,,IND,1630695,M. Potter,Substitution,,,0.0,0.0,0.0,SUB: Sheppard FOR Potter,2026
22500709,1,PT06M28.00S,,,LAC,1627739,K. Dunn,Turnover,Bad Pass,,0.0,0.0,0.0,Dunn Bad Pass Turnover (P2.T3),2026
22500167,4,PT08M08.00S,,,NYK,1610612755,M. Bridges,Timeout,Regular,,0.0,0.0,0.0,76ers Timeout: Regular (Reg.4 Short 0),2026
22500039,2,PT05M03.00S,51.0,56.0,MIA,1631107,N. Jović,Free Throw,Free Throw 2 of 2,,0.0,0.0,0.0,Jovic Free Throw 2 of 2 (3 PTS),2026
22500968,2,PT09M30.00S,,,CHI,1630208,N. Richards,Turnover,Traveling,,0.0,0.0,0.0,Richards Traveling Turnover (P1.T5),2026
22500452,4,PT05M19.00S,92.0,123.0,CHI,1630245,A. Dosunmu,Made Shot,Running Dunk Shot,Made,-2.0,6.0,1.0,Dosunmu 1' Running Dunk (6 PTS),2026
22500625,1,PT08M19.00S,,,OKC,1629652,L. Dort,Foul,Shooting,,0.0,0.0,0.0,Dort S.FOUL (P1.T1) (M.Lindsay),2026
22500835,4,PT06M37.00S,,,NYK,1628973,J. Brunson,Free Throw,Free Throw 1 of 2,,0.0,0.0,0.0,MISS Brunson Free Throw 1 of 2,2026
22500858,3,PT00M00.50S,,,NYK,1610612739,M. Bridges,Rebound,Unknown,,0.0,0.0,0.0,Cavaliers Rebound,2026
22501152,1,PT04M49.00S,,,MIN,1630245,A. Dosunmu,Substitution,,,0.0,0.0,0.0,SUB: Anderson FOR Dosunmu,2026
22500573,4,PT01M23.00S,124.0,120.0,UTA,1641718,K. George,Free Throw,Free Throw 1 of 3,,0.0,0.0,0.0,George Free Throw 1 of 3 (21 PTS),2026
22500638,1,PT00M00.00S,,,NYK,1610612758,M. Bridges,Rebound,Unknown,,0.0,0.0,0.0,Kings Rebound,2026
22500242,4,PT05M04.00S,,,IND,1629614,A. Nembhard,Missed Shot,Pullup Jump shot,Missed,146.0,121.0,19.0,MISS Nembhard 19' Pullup Jump Shot,2026
22500113,4,PT01M08.00S,,,SAC,1627734,D. Sabonis,Rebound,Unknown,,0.0,0.0,0.0,Sabonis REBOUND (Off:4 Def:10),2026
22500542,3,PT00M02.70S,,,MIN,1630162,A. Edwards,Rebound,Unknown,,0.0,0.0,0.0,Edwards REBOUND (Off:1 Def:4),2026
22501027,3,PT02M58.00S,,,MIA,1630558,D. Mitchell,Substitution,,,0.0,0.0,0.0,SUB: Jakucionis FOR Mitchell,2026
22501195,4,PT09M45.00S,104.0,94.0,NOP,1642852,D. Queen,Made Shot,Driving Reverse Dunk Shot,Made,2.0,10.0,1.0,Queen 1' Driving Reverse Dunk Shot (25 PTS),2026
22500265,3,PT10M07.00S,81.0,56.0,MEM,1642907,C. Coward,3pt,Jump Shot,Missed,-164.0,188.0,24.93,MISS C. Coward 24' 3PT,2026
22501172,1,PT09M18.00S,,,MIA,1642857,K. Jakučionis,Substitution,,,0.0,0.0,0.0,SUB: Jaquez Jr. FOR Jakucionis,2026
22500119,3,PT08M23.00S,,,DAL,203076,A. Davis,Jump Ball,Coach Challenge,,0.0,0.0,0.0,Jump Ball (CC) Davis vs. Holmgren: Tip to Christie,2026
