Player,Team,GamesPlayed,Points,Rebounds,Assists,Steals,Blocks
L. Dončić,LAL,64,2143,495,233,105,34
S. Gilgeous-Alexander,OKC,68,2117,292,199,95,52
J. Brown,BOS,71,2038,492,305,72,27
K. Durant,HOU,78,2026,426,440,62,71
T. Maxey,PHI,70,1980,290,288,130,55
D. Mitchell,CLE,70,1952,316,323,104,20
J. Brunson,NYK,74,1927,247,258,57,8
J. Murray,DEN,75,1905,330,508,66,29
K. Leonard,LAC,65,1813,413,314,122,27
N. Jokić,DEN,65,1799,836,393,92,53
A. Edwards,MIN,61,1757,302,280,83,49
D. Booker,PHX,64,1668,248,252,51,18
J. Randle,MIN,79,1667,532,293,86,18
B. Ingram,TOR,77,1655,430,391,58,55
J. Harden,LAC,70,1652,336,139,79,28
D. Bane,ORL,82,1647,338,350,86,37
N. Alexander-Walker,ATL,78,1624,268,541,102,42
J. Johnson,ATL,72,1621,740,381,89,31
V. Wembanyama,SAS,64,1600,736,434,66,197
P. Banchero,ORL,72,1599,604,289,51,40
D. Avdija,POR,66,1598,454,270,51,41
C. Cunningham,DET,64,1531,355,170,92,53
K. Towns,NYK,75,1504,889,407,65,40
K. Knueppel,CHA,81,1498,432,438,57,19
P. Siakam,IND,62,1485,411,379,69,25
C. Flagg,DAL,70,1473,466,276,84,63
B. Adebayo,MIA,73,1468,732,382,86,49
A. Sengun,HOU,72,1466,640,337,85,76
S. Barnes,TOR,80,1448,600,392,114,114
L. Ball,CHA,72,1445,347,241,87,17
A. Thompson,HOU,79,1443,614,386,119,48
C. McCollum,ATL,76,1424,252,349,64,35
T. Murphy III,NOP,66,1420,377,340,99,24
D. DeRozan,SAC,77,1419,226,355,80,23
J. Duren,DET,70,1365,737,453,57,59
P. Pritchard,BOS,79,1345,312,316,58,10
D. Fox,SAS,72,1336,270,294,89,19
M. Bridges,CHA,77,1314,450,433,46,32
B. Miller,CHA,65,1311,319,323,66,44
Z. Williamson,NOP,62,1302,353,271,60,34
R. Rollins,MIL,74,1281,338,277,110,31
K. George,UTA,54,1275,199,239,58,14
S. Bey,NOP,72,1271,400,311,68,7
D. White,BOS,77,1267,339,307,88,98
N. Powell,MIA,58,1261,203,309,64,14
M. Porter Jr.,BKN,53,1259,367,252,55,13
L. James,LAL,60,1256,364,349,72,35
M. Buzelis,CHI,77,1252,448,471,55,116
J. Smith Jr.,HOU,77,1215,529,420,56,71
V. Edgecombe,PHI,75,1199,423,343,107,39
A. Reaves,LAL,51,1187,240,269,56,20
C. Holmgren,OKC,69,1181,615,339,43,130
M. Bridges,NYK,82,1181,312,449,107,62
E. Mobley,CLE,65,1180,586,359,48,113
J. Fears,NOP,82,1169,300,246,97,29
J. Jaquez Jr.,MIA,75,1152,375,319,51,21
I. Quickley,TOR,70,1150,282,292,92,5
S. Curry,GSW,43,1142,154,233,49,17
S. Castle,SAS,68,1133,362,240,78,18
B. Podziemski,GSW,82,1133,419,344,88,15
D. Brooks,PHX,57,1131,203,237,57,9
N. Marshall,DAL,74,1128,348,291,82,6
L. Markkanen,UTA,42,1123,289,290,42,21
O. Okongwu,ATL,74,1123,562,437,82,79
O. Anunoby,NYK,67,1118,351,354,104,48
B. Sensabaugh,UTA,74,1116,231,368,54,12
R. Sheppard,HOU,82,1110,238,375,122,54
T. Camara,POR,82,1100,421,458,94,35
R. Barrett,TOR,57,1098,300,349,42,19
J. McDaniels,MIN,73,1084,310,324,81,73
K. Johnson,SAS,82,1081,440,387,46,11
T. Hardaway Jr.,DEN,80,1079,206,532,42,10
J. Grant,POR,57,1060,198,287,42,35
C. Sexton,CHA,68,1050,155,258,76,10
N. Reid,MIN,77,1046,477,324,76,78
A. Wiggins,MIA,68,1045,329,344,76,69
S. Sharpe,POR,50,1042,217,248,70,6
A. Dosunmu,CHI,69,1022,237,324,58,18
J. Embiid,PHI,38,1021,293,250,21,46
C. Gillespie,PHX,80,1012,327,274,99,16
Q. Grimes,PHI,75,1006,273,334,64,28
D. DiVincenzo,MIN,82,1000,336,331,104,34
G. Antetokounmpo,MIL,36,993,352,193,34,24
A. Bailey,UTA,72,993,302,373,60,49
R. Westbrook,SAC,64,971,348,211,83,12
A. Nembhard,IND,57,966,160,168,51,8
N. Vučević,CHI,64,965,537,407,39,41
A. Black,ORL,64,959,244,296,91,45
B. Mathurin,IND,54,949,293,223,43,13
D. Queen,NOP,81,948,572,230,84,74
M. Christie,DAL,77,945,249,320,47,27
D. Robinson,DET,77,939,205,488,44,22
J. Collins,LAC,69,935,367,330,60,51
D. Clingan,POR,77,934,892,340,44,130
D. Vassell,SAS,67,932,269,353,57,25
J. Jackson Jr.,MEM,49,931,272,273,53,69
W. Carter Jr.,ORL,78,922,577,335,60,49
M. Raynaud,SAC,74,922,556,366,38,38
J. Giddey,CHI,54,919,448,191,55,27
B. Portis,MIL,67,915,428,394,41,12
T. Jones,CHI,65,914,204,302,76,10
J. Champagnie,SAS,82,911,473,376,62,38
D. Daniels,ATL,76,901,520,392,149,31
D. Ayton,LAL,72,897,575,445,41,70
K. Kuzma,MIL,69,896,313,346,46,28
S. Mamukelashvili,TOR,80,893,395,399,64,41
J. Walker,IND,76,884,391,334,63,26
K. Filipowski,UTA,77,879,552,348,73,39
B. Carrington,WAS,82,878,276,234,52,17
J. Tyson,CLE,66,872,338,365,54,28
C. White,CHI,50,868,170,202,25,5
J. Wells,MEM,69,865,220,372,61,9
J. Holiday,POR,53,865,245,177,54,6
J. Allen,CLE,56,860,476,326,55,47
B. Williams,DAL,66,859,191,181,62,20
K. Ware,MIA,77,851,694,321,59,84
M. Turner,MIL,71,846,378,359,50,115
D. Garland,CLE,45,845,107,141,43,8
C. Coward,MEM,62,843,364,299,40,27
G. Allen,PHX,51,841,155,195,69,13
T. Harris,DET,63,836,323,349,58,26
R. Gobert,MIN,76,829,872,256,58,124
D. Harper,SAS,69,813,234,237,54,24
K. Thompson,DAL,69,810,143,280,33,22
N. Claxton,BKN,69,810,478,239,45,77
A. Green,MIL,78,809,213,364,39,8
N. Clowney,BKN,66,809,273,236,50,45
P. Larsson,MIA,70,800,244,278,49,16
C. Spencer,MEM,72,798,183,252,52,11
P. Washington,DAL,56,793,394,245,55,60
J. Hart,NYK,66,792,486,327,75,17
P. Watson,DEN,54,789,264,382,50,61
J. Suggs,ORL,57,786,220,201,105,40
A. Simons,BOS,55,785,135,193,27,8
I. Joe,OKC,71,785,181,297,50,11
A. Sarr,WAS,48,783,355,203,39,95
J. Huff,IND,82,783,324,358,41,153
R. Hachimura,LAL,68,780,226,429,39,21
N. Queta,BOS,76,776,636,357,60,100
A. Mitchell,OKC,57,774,190,199,71,18
M. Monk,SAC,62,772,117,209,37,24
H. Barnes,SAS,77,765,213,356,50,12
R. O'Neale,PHX,78,765,372,321,84,32
W. Riley,WAS,74,764,212,208,54,9
T. da Silva,ORL,77,762,284,301,68,25
J. Butler III,GSW,38,760,211,165,55,8
D. Schröder,SAC,70,756,190,182,55,11
Z. LaVine,SAC,39,748,108,217,28,10
P. Achiuwa,SAC,73,736,492,300,65,50
T. Johnson,WAS,60,733,170,208,33,18
M. Moody,GSW,60,728,200,248,58,34
A. Thompson,DET,73,721,418,413,146,69
S. Hauser,BOS,78,719,300,325,38,23
J. Landale,MEM,68,718,387,304,35,36
K. George,WAS,48,710,245,155,48,43
K. Oubre Jr.,PHI,50,705,252,222,68,24
M. Williams,PHX,60,700,477,243,55,55
F. Wagner,ORL,35,699,177,165,32,11
K. Huerter,CHI,69,693,240,298,63,33
I. Collier,UTA,59,688,150,172,66,20
G. Jackson,MEM,55,686,235,242,31,44
T. Herro,MIA,33,677,158,152,23,12
I. Zubac,LAC,48,677,509,275,18,40
J. LaRavia,LAL,82,674,326,403,104,37
D. Jenkins,DET,72,671,166,192,64,15
S. Merrill,CLE,52,663,133,252,33,7
K. Porter Jr.,MIL,38,661,198,94,83,19
C. Wallace,OKC,77,660,238,309,150,28
C. Johnson,DEN,54,660,206,402,40,21
B. Coulibaly,WAS,56,657,243,161,75,54
D. Mitchell,MIA,70,654,186,174,68,11
L. Kennard,ATL,78,652,182,330,55,8
B. Brown,DEN,82,649,318,428,85,20
N. Clifford,SAC,75,645,282,229,68,24
P. George,PHI,37,641,196,160,62,16
Z. Risacher,ATL,67,641,257,324,59,36
K. Middleton,WAS,63,640,231,181,41,9
R. Holland II,DET,78,640,315,312,92,27
B. Lopez,LAC,75,634,273,295,45,87
T. Eason,HOU,60,627,376,248,72,28
M. Bagley III,WAS,60,627,366,235,28,43
G. Santos,GSW,68,625,266,239,61,22
J. Clarkson,NYK,71,622,127,260,30,9
A. Nesmith,IND,45,621,187,270,26,23
D. Hunter,CLE,45,615,185,198,30,6
A. Wiggins,OKC,65,611,199,190,60,28
J. Goodwin,PHX,70,609,341,258,106,14
B. Hyland,MIN,69,604,127,189,44,17
D. Melton,GSW,49,602,158,176,77,20
S. Aldama,MEM,43,602,287,247,37,31
J. Miller,LAC,58,598,182,178,45,11
J. Champagnie,WAS,69,597,384,209,59,43
S. Fontecchio,MIA,69,597,211,238,37,9
K. Dunn,LAC,82,596,271,259,131,14
C. Williams,UTA,66,588,198,283,51,26
I. Okoro,CHI,63,584,173,276,46,29
A. Gordon,DEN,37,582,209,257,21,10
I. Stewart,DET,58,581,290,280,16,93
M. Smart,LAL,63,579,172,341,87,23
L. Dort,OKC,69,576,245,249,62,27
M. Diabaté,CHA,73,575,635,265,56,72
Z. Williams,BKN,56,573,134,197,76,21
D. Green,GSW,68,570,375,217,61,42
J. Green,DET,82,569,230,351,102,25
J. Green,PHX,32,568,116,110,34,8
C. Thomas,BKN,42,567,71,106,9,3
J. Valančiūnas,DEN,65,567,329,240,14,37
J. Williams,OKC,33,563,152,129,39,9
J. McCain,PHI,66,558,137,221,35,5
L. Garza,BOS,68,557,281,239,27,28
V. Krejčí,ATL,65,550,148,271,47,18
G. Payton II,GSW,72,547,265,283,67,21
J. Shead,TOR,82,545,143,231,76,15
D. Barlow,PHI,71,545,340,263,63,53
J. Smith,CHI,53,541,355,262,24,42
J. Walter,TOR,72,541,185,255,73,13
D. Sharpe,BKN,62,540,413,132,67,26
W. Clayton Jr.,UTA,69,538,139,207,44,19
E. Dëmin,BKN,52,536,165,173,42,17
K. Porziņģis,ATL,32,533,167,162,18,38
C. Kispert,ATL,58,532,132,214,16,9
O. Ighodaro,PHX,82,531,418,282,73,57
O. Prosper,MEM,51,530,187,202,40,13
G. Trent Jr.,MIL,65,529,67,213,34,3
C. Braun,DEN,44,526,211,344,30,12
T. McConnell,IND,56,525,124,133,56,10
D. Gafford,DAL,55,524,378,175,42,69
J. Poole,NOP,39,524,77,119,22,15
J. Hardy,WAS,56,523,86,163,16,6
R. Kalkbrenner,CHA,69,521,377,255,32,101
Q. Post,GSW,67,513,269,222,26,35
J. Alvarado,NOP,69,510,171,197,66,8
C. Love,POR,49,509,114,150,27,4
D. Wolf,BKN,56,508,281,167,30,32
P. Williams,CHI,72,505,215,236,49,26
P. Reed,DET,64,504,294,261,57,60
D. Jones Jr.,LAC,50,504,173,207,45,50
N. Traore,BKN,55,499,99,130,45,23
J. Hayes,LAL,66,497,271,335,29,52
H. Jones,NOP,56,496,190,165,88,27
K. Sanders,LAC,68,495,153,215,49,10
J. Poeltl,TOR,46,493,323,250,40,32
M. McBride,NYK,41,491,100,174,35,8
C. Murray-Boyles,TOR,57,484,285,266,52,53
K. Ellis,SAC,72,480,135,253,83,46
P. Spencer,GSW,66,476,158,129,48,5
L. Shamet,NYK,51,475,92,220,31,9
S. Mykhailiuk,UTA,50,469,124,208,26,3
J. Williams,OKC,65,469,358,233,31,42
B. Sheppard,IND,65,459,195,219,39,6
M. Potter,IND,46,458,233,226,22,15
T. Mann,BKN,63,455,200,151,41,15
G. Dick,TOR,73,455,147,236,45,7
Q. Jackson,IND,48,448,114,159,31,6
J. Nurkić,UTA,41,447,425,187,52,22
L. Kornet,SAS,68,444,414,279,32,65
C. LeVert,DET,60,443,117,217,51,41
W. Richard,GSW,69,441,172,225,80,9
T. Vukcevic,WAS,47,441,147,128,23,33
S. James,CHA,82,441,287,204,52,20
J. Kuminga,GSW,36,438,202,128,22,11
T. Hendricks,MEM,58,438,221,198,50,30
I. Hartenstein,OKC,47,432,443,184,48,36
O. Dieng,MIL,56,431,180,120,25,17
K. Caldwell-Pope,MEM,51,428,125,167,43,8
S. Henderson,POR,30,427,80,129,27,9
B. Scheierman,BOS,77,427,269,244,42,6
J. Strawther,DEN,55,413,114,185,25,6
R. Dillingham,CHI,65,409,131,152,47,6
D. Powell,BKN,63,408,111,128,36,14
A. Davis,DAL,20,407,221,108,22,33
R. Dunn,PHX,68,407,297,240,60,29
A. Drummond,PHI,63,403,532,162,38,49
R. Nembhard,DAL,60,397,133,102,25,2
R. Williams III,POR,60,397,415,234,35,87
J. Small,MEM,40,396,128,88,34,9
D. Smith,MIA,70,395,173,129,100,21
B. Hield,GSW,51,390,116,154,39,9
J. Morant,MEM,20,389,65,56,20,6
J. Edwards,PHI,59,386,94,161,54,11
S. Cissoko,POR,74,383,166,168,52,25
Y. Missi,NOP,66,377,385,166,20,101
G. Bitadze,ORL,64,375,320,177,37,61
N. Tomlin,CLE,63,374,186,172,41,34
G. Yabusele,CHI,66,373,234,206,26,16
A. Horford,GSW,45,372,219,185,30,51
I. Jackson,IND,55,370,290,183,36,49
T. Bryant,CLE,59,370,205,203,18,26
J. Watkins,WAS,49,368,194,132,54,25
J. Walsh,BOS,66,364,272,180,49,31
J. Minott,BOS,47,364,158,119,44,24
K. Williams,OKC,54,363,187,143,31,5
L. Miller,CHI,44,361,181,198,17,15
K. Brown,IND,57,353,185,151,23,12
J. Okogie,HOU,78,353,200,158,63,16
K. Matković,NOP,62,352,229,156,25,54
S. Jones,DEN,64,352,209,236,52,29
A. Caruso,OKC,56,348,155,201,72,17
T. Watford,PHI,51,346,175,133,16,22
N. Jović,MIA,47,344,153,127,26,17
D. Plowden,SAC,32,344,97,138,23,7
A. Bona,PHI,71,344,307,151,30,82
J. Wilson,BKN,53,343,114,132,22,2
D. Wade,CLE,59,342,247,197,44,23
M. Gueye,ATL,76,342,275,196,61,39
M. Robinson,NYK,60,340,525,164,56,70
B. McGowens,NOP,42,340,88,116,27,8
D. Carter,SAC,38,339,125,63,34,9
J. Carter,ORL,52,339,89,132,40,10
J. Sims,MIL,64,334,370,218,19,17
S. Cooper,WAS,40,333,86,55,16,5
R. Rupert,MEM,63,332,188,152,55,9
B. Saraf,BKN,44,332,92,82,38,8
K. Murray,POR,57,331,206,191,51,22
K. Jakučionis,MIA,52,328,138,111,33,7
A. Gill,WAS,48,321,158,127,31,21
K. Murray,SAC,23,321,132,118,24,36
J. Ivey,DET,37,316,91,162,23,14
O. Agbaji,TOR,62,314,141,170,24,17
A. Holiday,HOU,56,312,58,169,27,5
J. Howard,ORL,54,301,87,132,10,11
V. Williams Jr.,MEM,40,300,155,96,29,16
C. Bryant,SAS,70,298,178,176,16,23
N. Batum,LAC,73,293,184,154,47,23
T. Mann,CHA,52,291,92,82,25,5
T. Martin,BKN,45,290,116,109,25,6
H. González,BOS,71,289,246,162,42,21
C. Porter Jr.,CLE,64,289,220,127,57,38
J. Vanderbilt,LAL,65,288,292,258,55,19
C. Capela,HOU,74,282,345,138,36,63
O. Toppin,IND,24,279,106,133,12,1
J. Walker,PHI,63,276,192,93,23,13
N. Richards,CHI,47,276,243,182,10,32
J. Clark,MIN,68,275,120,149,47,9
T. Kolek,NYK,59,274,98,92,22,4
T. Proctor,CLE,48,272,64,84,25,0
K. Anderson,UTA,43,266,150,103,45,25
D. Russell,DAL,26,264,61,73,12,2
J. Bouyea,PHX,46,263,82,77,29,16
M. Peavy,NOP,59,262,117,127,43,9
J. Pickett,DEN,46,260,114,111,13,5
J. Hawkins,NOP,51,258,88,111,13,10
P. Nance,MIL,44,254,125,124,14,14
G. Williams,CHA,36,252,142,96,17,18
J. Green,CHA,58,249,102,118,35,6
J. Konchar,UTA,55,248,240,146,83,38
K. Love,UTA,37,248,215,114,14,9
M. Wagner,ORL,36,247,115,104,15,2
M. Diawara,NYK,66,246,94,121,17,6
M. Conley,MIN,54,245,93,130,35,14
B. Carlson,OKC,41,242,124,128,8,27
T. Shannon Jr.,MIN,41,241,49,69,14,1
J. Richardson,ORL,51,239,63,95,19,2
T. Prince,MIL,26,239,81,100,16,6
D. Cardwell,SAC,44,238,332,157,30,67
R. Fleming,PHX,53,238,124,117,22,21
C. Anthony,MIL,34,234,87,80,20,10
G. Vincent,LAL,53,231,54,156,27,3
D. Knecht,LAL,48,228,75,118,11,11
N. Penda,ORL,57,227,187,92,30,18
C. Martin,DAL,56,227,143,101,40,15
