team,Games,Points,FGM,FGA,ThreePM,ThreePA,Rebounds,Turnovers,Fouls,FG_Pct,ThreeP_Pct,PPG
ATL,82,8351,3575,7541,1201,3237,3570,1097,1639,47.4,37.1,101.8
DEN,82,8345,3524,7113,1150,2903,3565,978,1578,49.5,39.6,101.8
MIA,82,8287,3582,7648,1123,3107,3795,1076,1558,46.8,36.1,101.1
CLE,82,8281,3554,7381,1173,3261,3643,1092,1640,48.2,36.0,101.0
OKC,82,8245,3493,7219,1125,3073,3573,967,1552,48.4,36.6,100.5
SAS,82,8240,3562,7371,1116,3108,3856,1037,1573,48.3,35.9,100.5
BOS,82,8180,3456,7398,1268,3456,3802,943,1583,46.7,36.7,99.8
NYK,82,8168,3500,7328,1168,3133,3740,1053,1661,47.8,37.3,99.6
MIN,82,8164,3453,7166,1115,3011,3565,1149,1759,48.2,37.0,99.6
CHI,82,8121,3476,7417,1169,3287,3694,1200,1578,46.9,35.6,99.0
CHA,82,8057,3357,7292,1343,3549,3778,1184,1585,46.0,37.8,98.3
DET,82,8022,3560,7340,902,2534,3736,1163,1867,48.5,35.6,97.8
UTA,82,8014,3489,7469,1036,3006,3593,1231,1763,46.7,34.5,97.7
GSW,82,8000,3357,7280,1286,3616,3472,1229,1644,46.1,35.6,97.6
HOU,82,7986,3523,7361,940,2580,3946,1180,1535,47.9,36.4,97.4
MEM,82,7963,3340,7332,1126,3187,3405,1193,1695,45.6,35.3,97.1
WAS,82,7944,3385,7321,1056,2951,3393,1225,1770,46.2,35.8,96.9
PHX,82,7934,3362,7389,1210,3348,3535,1110,1740,45.5,36.1,96.8
MIL,82,7930,3345,7012,1240,3205,3341,1186,1661,47.7,38.7,96.7
TOR,82,7922,3495,7250,932,2633,3452,1055,1735,48.2,35.4,96.6
POR,82,7886,3350,7389,1186,3462,3771,1351,1675,45.3,34.3,96.2
NOP,82,7870,3411,7322,907,2601,3554,1091,1648,46.6,34.9,96.0
LAL,82,7866,3448,6863,970,2701,3361,1130,1562,50.2,35.9,95.9
PHI,82,7855,3422,7404,1011,2896,3579,1064,1698,46.2,34.9,95.8
IND,82,7789,3346,7304,1097,3084,3439,1135,1735,45.8,35.6,95.0
DAL,82,7763,3432,7366,899,2615,3666,1147,1540,46.6,34.4,94.7
SAC,82,7711,3333,7133,824,2415,3389,1091,1600,46.7,34.1,94.0
ORL,82,7687,3363,7244,961,2799,3557,1123,1761,46.4,34.3,93.7
LAC,82,7663,3322,6857,1019,2772,3329,1111,1573,48.4,36.8,93.5
BKN,82,7215,3071,6933,1073,3152,3225,1230,1776,44.3,34.0,88.0
